id,key,value,type
474889549,name,Church Street,regular
474889549,AtcoCode,150027008016,naptan
474889549,Bearing,SW,naptan
474889549,BusStopType,CUS,naptan
474889549,CommonName,Church Street,naptan
474889549,Crossing,Brook Street,naptan
474889549,Indicator,SW-bound,naptan
474889549,Landmark,Church Street,naptan
474889549,NaptanCode,esxgdjpa,naptan
474889549,Street,Church Street,naptan
474889549,verified,no,naptan
474889549,source,naptan_import,regular
474889550,name,Twinstead Green,regular
474889550,AtcoCode,1500270080Y2,naptan
474889550,Bearing,N,naptan
474889550,BusStopType,CUS,naptan
474889550,CommonName,Twinstead Green,naptan
474889550,Crossing,Church Road,naptan
474889550,Indicator,N-bound,naptan
474889550,Landmark,Twinstead Green,naptan
474889550,NaptanCode,esxgpamp,naptan
474889550,Street,Pebmarsh Road,naptan
474889550,verified,no,naptan
474889550,source,naptan_import,regular
474889551,name,Station Road,regular
474889551,AtcoCode,1500270080Y3,naptan
474889551,Bearing,SW,naptan
474889551,BusStopType,CUS,naptan
474889551,CommonName,Station Road,naptan
474889551,Crossing,Oddcroft,naptan
474889551,Indicator,SW-bound,naptan
474889551,Landmark,Station Road,naptan
474889551,NaptanCode,esxgtpja,naptan
474889551,Street,Station Road,naptan
474889551,verified,no,naptan
474889551,source,naptan_import,regular
474889553,name,De Vere Road,regular
474889553,AtcoCode,1500270080Y4,naptan
474889553,Bearing,NW,naptan
474889553,BusStopType,CUS,naptan
474889553,CommonName,De Vere Road,naptan
474889553,Crossing,De Vere Road,naptan
474889553,Indicator,Adj,naptan
474889553,Landmark,De Vere Road,naptan
474889553,NaptanCode,esxgtmjd,naptan
474889553,Street,Station Road,naptan
474889553,verified,no,naptan
474889553,source,naptan_import,regular
474889554,name,Church Street,regular
474889554,AtcoCode,1500270080Y6,naptan
474889554,Bearing,NE,naptan
474889554,BusStopType,CUS,naptan
474889554,CommonName,Church Street,naptan
474889554,Crossing,Brook Street,naptan
474889554,Indicator,NE-bound,naptan
474889554,Landmark,Church Street,naptan
474889554,NaptanCode,esxgtgmg,naptan
474889554,Street,Church Street,naptan
474889554,verified,no,naptan
474889554,source,naptan_import,regular
474889556,name,Twinstead Green,regular
474889556,AtcoCode,1500270080Y7,naptan
474889556,Bearing,E,naptan
474889556,BusStopType,CUS,naptan
474889556,CommonName,Twinstead Green,naptan
474889556,Crossing,Pebmarsh Road,naptan
474889556,Indicator,E-bound,naptan
474889556,Landmark,Twinstead Green,naptan
474889556,NaptanCode,esxgpamj,naptan
474889556,Street,Church Road,naptan
474889556,verified,no,naptan
474889556,source,naptan_import,regular
474889557,name,Oak Road,regular
474889557,AtcoCode,150027008Y05,naptan
474889557,Bearing,S,naptan
474889557,BusStopType,CUS,naptan
474889557,CommonName,Oak Road,naptan
474889557,Crossing,Maplestead Road,naptan
474889557,Indicator,S-bound,naptan
474889557,Landmark,Oak Road,naptan
474889557,NaptanCode,esxgtapt,naptan
474889557,Street,Oak Road,naptan
474889557,verified,no,naptan
474889557,source,naptan_import,regular
474889558,name,Atlas Road,regular
474889558,AtcoCode,150027008Y15,naptan
474889558,Bearing,NW,naptan
474889558,BusStopType,CUS,naptan
474889558,CommonName,Atlas Road,naptan
474889558,Crossing,Atlas Road,naptan
474889558,Indicator,Adj,naptan
474889558,Landmark,Atlas Road,naptan
474889558,NaptanCode,esxgtjwj,naptan
474889558,Street,Station Road,naptan
474889558,verified,no,naptan
474889558,source,naptan_import,regular
474889559,name,Hornes Green Road,regular
474889559,AtcoCode,150027009001,naptan
474889559,Bearing,SW,naptan
474889559,BusStopType,CUS,naptan
474889559,CommonName,Hornes Green Road,naptan
474889559,Crossing,Hornes Green Road,naptan
474889559,Indicator,Opp,naptan
474889559,Landmark,Hornes Green Road,naptan
474889559,NaptanCode,esxdjmwm,naptan
474889559,Street,Colne Road,naptan
474889559,verified,no,naptan
474889559,source,naptan_import,regular
474889561,name,Bures Road,regular
474889561,AtcoCode,150027009002,naptan
474889561,Bearing,S,naptan
474889561,BusStopType,CUS,naptan
474889561,CommonName,Bures Road,naptan
474889561,Crossing,Bures Road,naptan
474889561,Indicator,Opp,naptan
474889561,Landmark,Bures Road,naptan
474889561,NaptanCode,esxdjmwp,naptan
474889561,Street,Colne Road,naptan
474889561,verified,no,naptan
474889561,source,naptan_import,regular
474889562,highway,bus_stop,regular
474889562,name,Station Road,regular
474889562,AtcoCode,150027009004,naptan
474889562,Bearing,NW,naptan
474889562,BusStopType,CUS,naptan
474889562,CommonName,Station Road,naptan
474889562,Crossing,Station Road,naptan
474889562,Indicator,Opp,naptan
474889562,Landmark,Station Road,naptan
474889562,NaptanCode,esxdjpad,naptan
474889562,Street,Colchester Road,naptan
474889562,verified,no,naptan
474889562,source,naptan_import,regular
474889563,name,Hornes Green Road,regular
474889563,AtcoCode,1500270090Y1,naptan
474889563,Bearing,NE,naptan
474889563,BusStopType,CUS,naptan
474889563,CommonName,Hornes Green Road,naptan
474889563,Crossing,Hornes Green Road,naptan
474889563,Indicator,Adj,naptan
474889563,Landmark,Hornes Green Road,naptan
474889563,NaptanCode,esxgtgjp,naptan
474889563,Street,Colne Road,naptan
474889563,verified,no,naptan
474889563,source,naptan_import,regular
474889565,name,Bures Road,regular
474889565,AtcoCode,1500270090Y2,naptan
474889565,Bearing,N,naptan
474889565,BusStopType,CUS,naptan
474889565,CommonName,Bures Road,naptan
474889565,Crossing,Bures Road,naptan
474889565,Indicator,Adj,naptan
474889565,Landmark,Bures Road,naptan
474889565,NaptanCode,esxgtgwj,naptan
474889565,Street,Colne Road,naptan
474889565,verified,no,naptan
474889565,source,naptan_import,regular
474889566,highway,bus_stop,regular
474889566,name,Station Road,regular
474889566,AtcoCode,1500270090Y4,naptan
474889566,Bearing,SE,naptan
474889566,BusStopType,CUS,naptan
474889566,CommonName,Station Road,naptan
474889566,Crossing,Station Road,naptan
474889566,Indicator,Adj,naptan
474889566,Landmark,Station Road,naptan
474889566,NaptanCode,esxgtgmd,naptan
474889566,Street,Colchester Road,naptan
474889566,verified,no,naptan
474889566,source,naptan_import,regular
474889569,name,Chappel Road,regular
474889569,AtcoCode,150027010004,naptan
474889569,Bearing,N,naptan
474889569,BusStopType,CUS,naptan
474889569,CommonName,Chappel Road,naptan
474889569,Crossing,Takeleys,naptan
474889569,Indicator,N-bound,naptan
474889569,Landmark,Chappel Road,naptan
474889569,NaptanCode,esxdjpam,naptan
474889569,Street,Chappel Road,naptan
474889569,verified,no,naptan
474889569,source,naptan_import,regular
474889571,highway,bus_stop,regular
474889571,name,Chappel Road,regular
474889571,AtcoCode,1500270100Y4,naptan
474889571,Bearing,S,naptan
474889571,BusStopType,CUS,naptan
474889571,CommonName,Chappel Road,naptan
474889571,Crossing,Takeleys,naptan
474889571,Indicator,S-bound,naptan
474889571,Landmark,Chappel Road,naptan
474889571,NaptanCode,esxgtwja,naptan
474889571,Street,Chappel Road,naptan
474889571,verified,no,naptan
474889571,source,naptan_import,regular
474889573,name,Colchester Road,regular
474889573,AtcoCode,150027011003,naptan
474889573,Bearing,NW,naptan
474889573,BusStopType,CUS,naptan
474889573,CommonName,Colchester Road,naptan
474889573,Crossing,Anerley House Road,naptan
474889573,Indicator,NW-bound,naptan
474889573,Landmark,Colchester Road,naptan
474889573,NaptanCode,esxdjpmp,naptan
474889573,PlusbusZoneRef,CLCHSTR,naptan
474889573,Street,Colchester Road,naptan
474889573,verified,no,naptan
474889573,source,naptan_import,regular
474889574,name,Hall Road Cottages,regular
474889574,AtcoCode,150027011004,naptan
474889574,Bearing,NW,naptan
474889574,BusStopType,CUS,naptan
474889574,CommonName,Hall Road Cottages,naptan
474889574,Crossing,Hall Road,naptan
474889574,Indicator,Adj,naptan
474889574,Landmark,Hall Road Cottages,naptan
474889574,NaptanCode,esxdjpmt,naptan
474889574,PlusbusZoneRef,CLCHSTR,naptan
474889574,Street,Colchester Road,naptan
474889574,verified,no,naptan
474889574,source,naptan_import,regular
474889576,highway,bus_stop,regular
474889576,name,Colchester Road,regular
474889576,AtcoCode,150027011005,naptan
474889576,Bearing,E,naptan
474889576,BusStopType,CUS,naptan
474889576,CommonName,Colchester Road,naptan
474889576,Crossing,Packards Lane,naptan
474889576,Indicator,E-bound,naptan
474889576,Landmark,Colchester Road,naptan
474889576,NaptanCode,esxdjpmw,naptan
474889576,Street,Colchester Road,naptan
474889576,verified,no,naptan
474889576,source,naptan_import,regular
474889577,highway,bus_stop,regular
474889577,name,Chapel Corner,regular
474889577,AtcoCode,150027011006,naptan
474889577,Bearing,NW,naptan
474889577,BusStopType,CUS,naptan
474889577,CommonName,Chapel Corner,naptan
474889577,Crossing,Little Horkesley Road,naptan
474889577,Indicator,NW-bound,naptan
474889577,Landmark,Chapel Corner,naptan
474889577,NaptanCode,esxdjpta,naptan
474889577,Street,Main Road,naptan
474889577,verified,no,naptan
474889577,source,naptan_import,regular
474889578,highway,bus_stop,regular
474889578,name,Church Road,regular
474889578,AtcoCode,150027011007,naptan
474889578,Bearing,W,naptan
474889578,BusStopType,CUS,naptan
474889578,CommonName,Church Road,naptan
474889578,Crossing,Church Road,naptan
474889578,Indicator,Adj,naptan
474889578,Landmark,Church Road,naptan
474889578,NaptanCode,esxdjptd,naptan
474889578,Street,Main Road,naptan
474889578,verified,no,naptan
474889578,source,naptan_import,regular
474889580,highway,bus_stop,regular
474889580,name,Hillcroft Farm,regular
474889580,AtcoCode,150027011009,naptan
474889580,Bearing,NW,naptan
474889580,BusStopType,CUS,naptan
474889580,CommonName,Hillcroft Farm,naptan
474889580,Crossing,Colchester Road B1508,naptan
474889580,Indicator,Opp,naptan
474889580,Landmark,Hillcroft Farm,naptan
474889580,NaptanCode,esxdjptj,naptan
474889580,Street,Sandy Hill B1508,naptan
474889580,verified,no,naptan
474889580,source,naptan_import,regular
474889581,highway,bus_stop,regular
474889581,name,Peartree Hill,regular
474889581,AtcoCode,150027011010,naptan
474889581,Bearing,E,naptan
474889581,BusStopType,CUS,naptan
474889581,CommonName,Peartree Hill,naptan
474889581,Crossing,Peartree Hill,naptan
474889581,Indicator,From,naptan
474889581,Landmark,Peartree Hill,naptan
474889581,NaptanCode,esxdjptm,naptan
474889581,Street,Lower Road B1508,naptan
474889581,verified,no,naptan
474889581,source,naptan_import,regular
474889582,highway,bus_stop,regular
474889582,name,Hall Road,regular
474889582,AtcoCode,150027011011,naptan
474889582,Bearing,NW,naptan
474889582,BusStopType,CUS,naptan
474889582,CommonName,Hall Road,naptan
